rsp,mtd,word,res
1,neutral,"Саш тебе чай или кофе?",1
1,neutral,"Саш Вам чай или кофе?",3
1,informal,"Жень передай хлеб пожалуйста.",1
1,informal,"Жень передайте хлеб пожалуйста",2
1,formal,"Валь ты получил(а) моё письмо?",1
1,formal,"Валь Вы получили моё письмо?",3
2,neutral,"Саш тебе чай или кофе?",1
2,neutral,"Саш Вам чай или кофе?",1
2,informal,"Жень передай хлеб пожалуйста.",1
2,informal,"Жень передайте хлеб пожалуйста",1
2,formal,"Валь ты получил(а) моё письмо?",1
2,formal,"Валь Вы получили моё письмо?",1
3,neutral,"Саш тебе чай или кофе?",1
3,neutral,"Саш Вам чай или кофе?",1
3,informal,"Жень передай хлеб пожалуйста.",1
3,informal,"Жень передайте хлеб пожалуйста",1
3,formal,"Валь ты получил(а) моё письмо?",3
3,formal,"Валь Вы получили моё письмо?",3
4,neutral,"Саш тебе чай или кофе?",1
4,neutral,"Саш Вам чай или кофе?",1
4,informal,"Жень передай хлеб пожалуйста.",1
4,informal,"Жень передайте хлеб пожалуйста",1
4,formal,"Валь ты получил(а) моё письмо?",1
4,formal,"Валь Вы получили моё письмо?",1
5,neutral,"Саш тебе чай или кофе?",1
5,neutral,"Саш Вам чай или кофе?",2
5,informal,"Жень передай хлеб пожалуйста.",1
5,informal,"Жень передайте хлеб пожалуйста",3
5,formal,"Валь ты получил(а) моё письмо?",1
5,formal,"Валь Вы получили моё письмо?",3
6,neutral,"Саш тебе чай или кофе?",1
6,neutral,"Саш Вам чай или кофе?",3
6,informal,"Жень передай хлеб пожалуйста.",1
6,informal,"Жень передайте хлеб пожалуйста",3
6,formal,"Валь ты получил(а) моё письмо?",3
6,formal,"Валь Вы получили моё письмо?",3
7,neutral,"Саш тебе чай или кофе?",2
7,neutral,"Саш Вам чай или кофе?",3
7,informal,"Жень передай хлеб пожалуйста.",1
7,informal,"Жень передайте хлеб пожалуйста",3
7,formal,"Валь ты получил(а) моё письмо?",2
7,formal,"Валь Вы получили моё письмо?",3
8,neutral,"Саш тебе чай или кофе?",1
8,neutral,"Саш Вам чай или кофе?",3
8,informal,"Жень передай хлеб пожалуйста.",1
8,informal,"Жень передайте хлеб пожалуйста",3
8,formal,"Валь ты получил(а) моё письмо?",3
8,formal,"Валь Вы получили моё письмо?",3
9,neutral,"Саш тебе чай или кофе?",1
9,neutral,"Саш Вам чай или кофе?",3
9,informal,"Жень передай хлеб пожалуйста.",2
9,informal,"Жень передайте хлеб пожалуйста",3
9,formal,"Валь ты получил(а) моё письмо?",2
9,formal,"Валь Вы получили моё письмо?",3
10,neutral,"Саш тебе чай или кофе?",1
10,neutral,"Саш Вам чай или кофе?",3
10,informal,"Жень передай хлеб пожалуйста.",1
10,informal,"Жень передайте хлеб пожалуйста",3
10,formal,"Валь ты получил(а) моё письмо?",1
10,formal,"Валь Вы получили моё письмо?",3
11,neutral,"Саш тебе чай или кофе?",3
11,neutral,"Саш Вам чай или кофе?",3
11,informal,"Жень передай хлеб пожалуйста.",2
11,informal,"Жень передайте хлеб пожалуйста",3
11,formal,"Валь ты получил(а) моё письмо?",2
11,formal,"Валь Вы получили моё письмо?",3
12,neutral,"Саш тебе чай или кофе?",1
12,neutral,"Саш Вам чай или кофе?",3
12,informal,"Жень передай хлеб пожалуйста.",1
12,informal,"Жень передайте хлеб пожалуйста",3
12,formal,"Валь ты получил(а) моё письмо?",3
12,formal,"Валь Вы получили моё письмо?",3
13,neutral,"Саш тебе чай или кофе?",2
13,neutral,"Саш Вам чай или кофе?",3
13,informal,"Жень передай хлеб пожалуйста.",3
13,informal,"Жень передайте хлеб пожалуйста",3
13,formal,"Валь ты получил(а) моё письмо?",2
13,formal,"Валь Вы получили моё письмо?",3
14,neutral,"Саш тебе чай или кофе?",1
14,neutral,"Саш Вам чай или кофе?",3
14,informal,"Жень передай хлеб пожалуйста.",3
14,informal,"Жень передайте хлеб пожалуйста",3
14,formal,"Валь ты получил(а) моё письмо?",1
14,formal,"Валь Вы получили моё письмо?",3
15,neutral,"Саш тебе чай или кофе?",1
15,neutral,"Саш Вам чай или кофе?",3
15,informal,"Жень передай хлеб пожалуйста.",1
15,informal,"Жень передайте хлеб пожалуйста",3
15,formal,"Валь ты получил(а) моё письмо?",1
15,formal,"Валь Вы получили моё письмо?",3
16,neutral,"Саш тебе чай или кофе?",1
16,neutral,"Саш Вам чай или кофе?",2
16,informal,"Жень передай хлеб пожалуйста.",1
16,informal,"Жень передайте хлеб пожалуйста",3
16,formal,"Валь ты получил(а) моё письмо?",1
16,formal,"Валь Вы получили моё письмо?",3
17,neutral,"Саш тебе чай или кофе?",1
17,neutral,"Саш Вам чай или кофе?",3
17,informal,"Жень передай хлеб пожалуйста.",1
17,informal,"Жень передайте хлеб пожалуйста",3
17,formal,"Валь ты получил(а) моё письмо?",1
17,formal,"Валь Вы получили моё письмо?",3
18,neutral,"Саш тебе чай или кофе?",1
18,neutral,"Саш Вам чай или кофе?",3
18,informal,"Жень передай хлеб пожалуйста.",1
18,informal,"Жень передайте хлеб пожалуйста",3
18,formal,"Валь ты получил(а) моё письмо?",1
18,formal,"Валь Вы получили моё письмо?",3
19,neutral,"Саш тебе чай или кофе?",1
19,neutral,"Саш Вам чай или кофе?",1
19,informal,"Жень передай хлеб пожалуйста.",1
19,informal,"Жень передайте хлеб пожалуйста",1
19,formal,"Валь ты получил(а) моё письмо?",1
19,formal,"Валь Вы получили моё письмо?",1
20,neutral,"Саш тебе чай или кофе?",1
20,neutral,"Саш Вам чай или кофе?",1
20,informal,"Жень передай хлеб пожалуйста.",1
20,informal,"Жень передайте хлеб пожалуйста",1
20,formal,"Валь ты получил(а) моё письмо?",1
20,formal,"Валь Вы получили моё письмо?",1
21,neutral,"Саш тебе чай или кофе?",1
21,neutral,"Саш Вам чай или кофе?",1
21,informal,"Жень передай хлеб пожалуйста.",1
21,informal,"Жень передайте хлеб пожалуйста",1
21,formal,"Валь ты получил(а) моё письмо?",1
21,formal,"Валь Вы получили моё письмо?",1
22,neutral,"Саш тебе чай или кофе?",1
22,neutral,"Саш Вам чай или кофе?",2
22,informal,"Жень передай хлеб пожалуйста.",2
22,informal,"Жень передайте хлеб пожалуйста",1
22,formal,"Валь ты получил(а) моё письмо?",1
22,formal,"Валь Вы получили моё письмо?",1
23,neutral,"Саш тебе чай или кофе?",1
23,neutral,"Саш Вам чай или кофе?",1
23,informal,"Жень передай хлеб пожалуйста.",1
23,informal,"Жень передайте хлеб пожалуйста",3
23,formal,"Валь ты получил(а) моё письмо?",1
23,formal,"Валь Вы получили моё письмо?",1
24,neutral,"Саш тебе чай или кофе?",1
24,neutral,"Саш Вам чай или кофе?",2
24,informal,"Жень передай хлеб пожалуйста.",1
24,informal,"Жень передайте хлеб пожалуйста",2
24,formal,"Валь ты получил(а) моё письмо?",1
24,formal,"Валь Вы получили моё письмо?",2
25,neutral,"Саш тебе чай или кофе?",1
25,neutral,"Саш Вам чай или кофе?",1
25,informal,"Жень передай хлеб пожалуйста.",1
25,informal,"Жень передайте хлеб пожалуйста",1
25,formal,"Валь ты получил(а) моё письмо?",1
25,formal,"Валь Вы получили моё письмо?",1
